id,question,answer,A,B,C,D,E,F,question_zh,A_zh,B_zh,C_zh,D_zh,E_zh,F_zh,question_zh_zh
279,"An AWS CloudFormation template creates an Amazon RDS instance. This template is used to build up development environments as needed and then delete the stack when the environment is no longer required. The RDS-persisted data must be retained for further use, even after the CloudFormation stack is deleted.  How can this be achieved in a reliable and efficient way?",C,Write a script to continue backing up the RDS instance every five minutes.,"Create an AWS Lambda function to take a snapshot of the RDS instance, and manually invoke the function before deleting the stack.",Use the Snapshot Deletion Policy in the CloudFormation template definition of the RDS instance.,"Create a new CloudFormation template to perform backups of the RDS instance, and run this template before deleting the stack.",,,"一个 AWS CloudFormation 模板创建一个 Amazon RDS 实例。  
This template is used to build up development environments as needed and then delete the stack when the environment is no longer required.  
该模板用于根据需要建立开发环境，然后在环境不再需要时删除堆栈。  
The RDS-persisted data must be retained for further use, even after the CloudFormation stack is deleted.  
即使在 CloudFormation 堆栈被删除后，RDS 持久化的数据也必须被保留以供进一步使用。  
How can this be achieved in a reliable and efficient way?  
如何以可靠且高效的方式实现这一点？",编写 一个 脚本 以 继续 备份 RDS 实例 每 五 分钟 。,创建一个 AWS Lambda 函数以拍摄 RDS 实例的快照，且手动调用该函数在删除堆栈之前。,在 CloudFormation 模板定义中使用 Snapshot Deletion Policy 在 RDS 实例。,创建 一个 新的 CloudFormation 模板 以 执行 备份 的 RDS 实例 ， 和 运行 这个 模板 在 删除 这个 堆栈 之前 。,nan,nan,"一个 AWS CloudFormation 模板创建一个 Amazon RDS 实例。  
This template is used to build up development environments as needed and then delete the stack when the environment is no longer required.  
该模板用于根据需要建立开发环境，然后在环境不再需要时删除堆栈。  
The RDS-persisted data must be retained for further use, even after the CloudFormation stack is deleted.  
即使在 CloudFormation 堆栈被删除后，RDS 持久化的数据也必须被保留以供进一步使用。  
How can this be achieved in a reliable and efficient way?  
如何以可靠且高效的方式实现这一点？"
281,A SysOps administrator needs to provision a new fleet of Amazon EC2 Spot Instances in an Amazon EC2 Auto Scaling group. The Auto Scaling group will use a wide range of instance types. The configured fleet must come from pools that have the most availability for the number of instances that are launched.  Which solution will meet these requirements?,C,Launch the Spot Instances up to the maximum capacity of the Auto Scaling group.,Launch the Spot Instances by using the diversified strategy.,Launch the Spot Instances by using the capacity optimized strategy.,Use the Spot Instance advisor to help determine the best Spot allocation strategy.,,,"一名 SysOps 管理员需要在 Amazon EC2 Auto Scaling 组中配置一支新的 Amazon EC2 Spot Instances 队列。  
该 Auto Scaling 组将使用各种类型的实例。  
配置的队列必须来自具有最多可用性的池，以满足已启动实例的数量。  
哪种解决方案可以满足这些要求？",启动 Spot Instances 直到达到 Auto Scaling 组的最大容量。,使用多样化策略启动 Spot Instances。,使用容量优化策略启动 Spot Instances。,使用 Spot Instance advisor 来帮助确定 最佳 Spot 分配 策略。,nan,nan,"一名 SysOps 管理员 需要 在 Amazon EC2 Auto Scaling 组 中 配置 一支 新的 Amazon EC2 Spot Instances 队列。  
该 Auto Scaling 组 将 使用 各种 类型 的 实例。  
配置 的 队列 必须 来自 具有 最多 可用性 的 池， 以 满足 已 启动 实例 的 数量。  
哪 种 解决方案 可以 满足 这些 要求？"
282,A SysOps administrator creates a custom Amazon Machine Image (AMI) in the eu-west-2 Region and uses the AMI to launch Amazon EC2 instances. The SysOps administrator needs to use the same AMI to launch EC2 instances in two other Regions: us-east-1 and us-east-2.  What must the SysOps administrator do to use the custom AMI in the additional Regions?,A,Copy the AMI to the additional Regions.,Make the AMI public in the Community AMIs section of the AWS Management Console.,Share the AMI to the additional Regions. Assign the required access permissions.,Copy the AMI to a new Amazon S3 bucket. Assign access permissions to the AMI for the additional Regions.,,,"一名 SysOps 管理员在 eu-west-2 区域创建了一个自定义的 Amazon Machine Image (AMI)，并使用该 AMI 启动 Amazon EC2 实例。  
该 SysOps 管理员需要使用相同的 AMI 在另外两个区域：us-east-1 和 us-east-2 启动 EC2 实例。  
SysOps 管理员必须做什么以在额外的区域中使用自定义的 AMI？",将 AMI 复制到额外的 Regions。,在 AWS Management Console 的 Community AMIs 部分中，将 AMI 设为公开。,共享 AMI 给额外的 Regions。 分配 所需的 访问 权限。,将 AMI 复制到一个新的 Amazon S3 存储桶。为 AMI 分配访问权限给额外的 Regions。,nan,nan,"一名 SysOps 管理员在 eu-west-2 区域创建了一个自定义的 Amazon Machine Image (AMI)，并使用该 AMI 启动 Amazon EC2 实例。  
该 SysOps 管理员需要使用相同的 AMI 在另外两个区域：us-east-1 和 us-east-2 启动 EC2 实例。  
SysOps 管理员必须做什么以在额外的区域中使用自定义的 AMI？"
283,A company has many accounts in an organization in AWS Organizations. The company must automate resource provisioning from the organization's management account to the member accounts.  Which solution will meet this requirement?,C,Create an AWS CloudFormation change set. Deploy the change set to all member accounts.,Create an AWS CloudFormation nested stack. Deploy the nested stack to all member accounts.,Create an AWS CloudFormation stack set. Deploy the stack set to all member accounts.,Create an AWS Serverless Application Model (AWS SAM) template. Deploy the template to all member accounts.,,,"一家公司在AWS Organizations中的一个组织中拥有许多账户。  
The company must automate resource provisioning from the organization's management account to the member accounts.  
该公司必须自动化资源配置，从组织的管理账户到成员账户。  
Which solution will meet this requirement?  
哪种解决方案将满足这个要求？",创建一个 AWS CloudFormation 变更集。将变更集部署到所有成员账户。,创建一个 AWS CloudFormation 嵌套堆栈。部署 嵌套堆栈 到 所有 成员 账户。,创建一个 AWS CloudFormation 栈集。部署该栈集到所有成员账户。,创建 一个 AWS Serverless Application Model (AWS SAM) 模板。 部署 到 所有 成员 账户。,nan,nan,"一家公司在 AWS Organizations 中的一个组织中拥有许多账户。  
The company must automate resource provisioning from the organization's management account to the member accounts.  
该公司必须自动化资源配置，从组织的管理账户到成员账户。  
Which solution will meet this requirement?  
哪种解决方案将满足这个要求？"
284,"A company is building an interactive application for personal finance. The application stores financial data in Amazon S3, and the data must be encrypted. The company does not want to provide its own encryption keys. However, the company wants to maintain an audit trail that shows when an encryption key was used and who used the key.  Which solution will meet these requirements?",D,Use client-side encryption with client-provided keys. Upload the encrypted user data to Amazon S3.,Use server-side encryption with S3 managed encryption keys (SSE-S3) to encrypt the user data on Amazon S3.,Use server-side encryption with customer-provided encryption keys (SSE-C) to encrypt the user data on Amazon S3.,Use server-side encryption with AWS KMS managed encryption keys (SSE-KMS) to encrypt the user data on Amazon S3.,,,"一家公司正在构建一个用于个人理财的交互式应用程序。  
该应用程序将财务数据存储在 Amazon S3 中，且数据必须被加密。  
该公司不想提供自己的加密密钥。  
然而，该公司希望维护一个审计轨迹，显示何时使用了加密密钥以及谁使用了该密钥。  
哪种解决方案可以满足这些要求？",使用 client-side encryption 与 client-provided keys。上传 加密的 用户数据 到 Amazon S3。,使用 server-side encryption 与 S3 管理的加密密钥（SSE-S3） 来加密 用户数据 在 Amazon S3。,使用 server-side encryption with customer-provided encryption keys (SSE-C) 来加密 Amazon S3 上的用户数据。,使用 server-side encryption 与 AWS KMS 管理的加密密钥（SSE-KMS） 来加密 用户数据 在 Amazon S3。,nan,nan,"一家公司正在构建一个用于个人理财的交互式应用程序。  
The company is building an interactive application for personal finance.  
该应用程序将财务数据存储在 Amazon S3 中，且数据必须被加密。  
The application will store financial data in Amazon S3, and the data must be encrypted.  
该公司不想提供自己的加密密钥。  
The company does not want to provide its own encryption keys.  
然而，该公司希望维护一个审计轨迹，显示何时使用了加密密钥以及谁使用了该密钥。  
However, the company wants to maintain an audit trail showing when the encryption keys were used and who used them.  
哪种解决方案可以满足这些要求？  
Which solution can meet these requirements?"
285,"A company has an AWS CloudFormation template that creates an Amazon S3 bucket. A user authenticates to the corporate AWS account with their Active Directory credentials and attempts to deploy the CloudFormation template. However, the stack creation fails.  Which factors could cause this failure? (Choose two.)",AC,The user's IAM policy does not allow the cloudformation:CreateStack action.,The user's IAM policy does not allow the cloudformation:CreateStackSet action.,The user's IAM policy does not allow the s3:CreateBucket action.,The user's IAM policy explicitly denies the s3:ListBucket action.,The user's IAM policy explicitly denies the s3:PutObject action.,,"一家公司拥有一个 AWS CloudFormation 模板，该模板创建一个 Amazon S3 bucket。  
一名用户使用他们的 Active Directory 凭证对公司 AWS 账户进行身份验证，并试图部署 CloudFormation 模板。  
然而，堆栈创建失败。  
哪些因素可能导致此失败？（选择两个。）",用户的 IAM 政策 不允许 cloudformation:CreateStack 操作。,用户的 IAM 政策 不允许 cloudformation:CreateStackSet 动作。,用户的 IAM 政策 不允许 s3:CreateBucket 操作。,用户的 IAM 政策 明确 拒绝 了 s3:ListBucket 操作。,用户的 IAM 政策 明确 拒绝 了 s3:PutObject 操作。,nan,"一家公司拥有一个 AWS CloudFormation 模板，该模板创建一个 Amazon S3 bucket。  
一名用户使用他们的 Active Directory 凭证对公司 AWS 账户进行身份验证，并试图部署 CloudFormation 模板。  
然而，堆栈创建失败。  
哪些因素可能导致此失败？（选择两个。）"
286,An Amazon RDS for PostgreSQL DB cluster has automated backups turned on with a 7-day retention period. A SysOps administrator needs to create a new RDS DB cluster by using data that is no more than 24 hours old from the original DB cluster.  Which solutions will meet these requirements with the LEAST operational overhead? (Choose two.),AC,Identify the most recent automated snapshot. Restore the snapshot to a new RDS DB cluster.,Back up the database to Amazon S3 by using native database backup tools. Create a new RDS DB cluster and restore the data to the new RDS DB cluster.,Create a read replica instance in the original RDS DB cluster. Promote the read replica to a standalone DB cluster.,Create a new RDS DB cluster. Use AWS Database Migration Service (AWS DMS) to migrate data from the current RDS DB cluster to the newly created RDS DB cluster.,Use the pg_dump utility to export data from the original RDS DB cluster to an Amazon EC2 instance. Create a new RDS DB cluster. Use the pg_restore utility to import the data from the EC2 instance to the new RDS DB cluster.,,"一个 Amazon RDS for PostgreSQL DB 集群已经开启了自动备份，保留期为 7 天。  
一个 SysOps 管理员需要使用不超过 24 小时旧的原始 DB 集群中的数据，创建一个新的 RDS DB 集群。  
哪些解决方案可以以最少的操作开销满足这些要求？（选择两个。）","识别 the most recent automated snapshot。  
还原 the snapshot 到 a new RDS DB cluster。",使用原生数据库备份工具将数据库备份到 Amazon S3。创建一个新的 RDS DB 集群并将数据还原到新的 RDS DB 集群。,在原始的 RDS DB 集群中创建一个只读副本实例。将只读副本提升为一个独立的 DB 集群。,创建一个新的 RDS DB 集群。使用 AWS Database Migration Service (AWS DMS) 将数据从当前的 RDS DB 集群迁移到新创建的 RDS DB 集群。,使用 pg_dump 工具将数据从原始 RDS DB 集群导出到 Amazon EC2 实例。创建一个新的 RDS DB 集群。使用 pg_restore 工具将数据从 EC2 实例导入到新的 RDS DB 集群。,nan,"一个 Amazon RDS for PostgreSQL DB 集群已经开启了自动备份，保留期为 7 天。  
一个 SysOps 管理员需要使用不超过 24 小时旧的原始 DB 集群中的数据，创建一个新的 RDS DB 集群。  
哪些解决方案可以以最少的操作开销满足这些要求？（选择两个。）"
287,"A company is managing a website with a global user base hosted on Amazon EC2 with an Application Load Balancer (ALB). To reduce the load on the web servers, a SysOps administrator configures an Amazon CloudFront distribution with the ALB as the origin. After a week of monitoring the solution, the administrator notices that requests are still being served by the ALB and there is no change in the web server load.  What are possible causes for this problem? (Choose two.)",BD,CloudFront does not have the ALB configured as the origin access identity.,The DNS is still pointing to the ALB instead of the CloudFront distribution.,The ALB security group is not permitting inbound traffic from CloudFront.,"The default, minimum, and maximum Time to Live (TTL) are set to 0 seconds on the CloudFront distribution.",The target groups associated with the ALB are configured for sticky sessions.,,"一家公司正在管理一个具有全球用户基础的网站，托管在 Amazon EC2 上，使用 Application Load Balancer (ALB)。为了减少对 web 服务器的负载，一名 SysOps 管理员配置了一个 Amazon CloudFront 分发，将 ALB 作为源。经过一周的监控，管理员注意到请求仍然由 ALB 提供服务，且 web 服务器的负载没有变化。  
可能导致这个问题的原因有哪些？（选择两个。）",CloudFront 不具有 配置为 ALB 作为 源访问身份。,DNS 仍然 指向 指向  ALB  而不是  而不是  CloudFront  分发。,ALB 安全组 不允许 传入 流量 从 CloudFront 。,默认的、最小的、和最大的 Time to Live (TTL) 被设置为 0 秒 在 CloudFront 分发。,与 ALB 相关联的目标组被配置为粘性会话。,nan,"一家公司正在管理一个具有全球用户基础的网站，托管在 Amazon EC2 上，使用 Application Load Balancer (ALB)。  
为了减少对 web 服务器的负载，一名 SysOps 管理员配置了一个 Amazon CloudFront 分发，将 ALB 作为源。  
经过一周的监控，管理员注意到请求仍然由 ALB 提供服务，且 web 服务器的负载没有变化。  
可能导致这个问题的原因有哪些？（选择两个。）"
288,A SysOps administrator needs to configure the Amazon Route 53 hosted zone for example.com and www.example.com to point to an Application Load Balancer (ALB).  Which combination of actions should the SysOps administrator take to meet these requirements? (Choose two.),CD,Configure an A record for example.com to point to the IP address of the ALB.,Configure an A record for www.example.com to point to the IP address of the ALB.,Configure an alias record for example.com to point to the CNAME of the ALB.,Configure an alias record for www.example.com to point to the Route 53 example.com record.,Configure a CNAME record for example.com to point to the CNAME of the ALB.,,"一名 SysOps 管理员需要配置 Amazon Route 53 托管区域为 example.com 和 www.example.com 指向一个 Application Load Balancer (ALB)。  
哪一组合的操作应该 SysOps 管理员采取以满足这些要求？（选择两个。）",为 example.com 配置一个 A 记录 指向 ALB 的 IP 地址。,为 www.example.com 配置一个 A 记录 指向 ALB 的 IP 地址。,为 example.com 配置一个别名记录指向 ALB 的 CNAME。,为 www.example.com 配置一个别名记录指向 Route 53 example.com 记录。,为 example.com 配置一个 CNAME 记录 指向 ALB 的 CNAME。,nan,"一名 SysOps 管理员需要配置 Amazon Route 53 托管区域为 example.com 和 www.example.com 指向一个 Application Load Balancer (ALB)。  
哪一组合的操作应该 SysOps 管理员采取以满足这些要求？（选择两个。）"
289,A company has a hybrid environment. The company has set up an AWS Direct Connect connection between the company's on-premises data center and a workload that runs in a VPC. The company uses Amazon Route 53 for DNS on AWS. The company uses a private hosted zone to manage DNS names for a set of services that are hosted on AWS.  The company wants the on-premises servers to use Route 53 for DNS resolution of the private hosted zone.  Which solution will meet these requirements?,A,Create a Route 53 inbound endpoint. Ensure that security groups and routing allow the traffic from the on-premises data center. Configure the DNS server on the on-premises network to conditionally forward DNS queries for the private hosted zone's domain name to the IP addresses of the inbound endpoint.,Create a Route 53 outbound endpoint. Ensure that security groups and routing allow the traffic from the VPC. Configure the DNS server on the on-premises network to conditionally forward DNS queries for the private hosted zone's domain name to the IP addresses of the outbound endpoint.,"Edit the private hosted zone in Route 53 with a TXT record that references the on-premises DNS servers. Configure the DNS server on the on-premises network to conditionally forward DNS queries for the private hosted zone's domain name to the base of the VPC CIDR IPv4 network range, plus two.","Edit the private hosted zone in Route 53 with a PTR record that references the on-premises DNS servers. Configure the DNS server on the on-premises network to conditionally forward DNS queries for the private hosted zone's domain name to the base of the VPC CIDR IPv4 network range, plus two.",,,"一家公司拥有一个混合环境。  
The company has set up an AWS Direct Connect connection between the company's on-premises data center and a workload that runs in a VPC.  
该公司在AWS上使用Amazon Route 53进行DNS。  
The company uses a private hosted zone to manage DNS names for a set of services that are hosted on AWS.  
该公司希望本地服务器使用Route 53进行私有托管区域的DNS解析。  
The company wants the on-premises servers to use Route 53 for DNS resolution of the private hosted zone.  
哪种解决方案可以满足这些要求？",创建一个 Route 53 inbound endpoint。确保安全组和路由允许来自本地数据中心的流量。配置本地网络上的 DNS 服务器，以有条件地转发私有托管区域的域名的 DNS 查询到 inbound endpoint 的 IP 地址。,创建一个 Route 53 出站端点。确保安全组和路由允许来自 VPC 的流量。配置本地网络上的 DNS 服务器，以有条件地转发私有托管区域的域名的 DNS 查询到出站端点的 IP 地址。,"在 Route 53 中编辑私有托管区域，添加一个引用本地 DNS 服务器的 TXT 记录。  
在本地网络上配置 DNS 服务器，以有条件地转发针对私有托管区域域名的 DNS 查询到 VPC CIDR IPv4 网络范围的基础，加上两个。","在 Route 53 中编辑私有托管区域，添加一个 PTR 记录，引用本地 DNS 服务器。  
在本地网络上配置 DNS 服务器，以有条件地转发针对私有托管区域的域名的 DNS 查询到 VPC CIDR IPv4 网络范围的基础，加上两个。",nan,nan,"一家公司拥有一个混合环境。  
The company has set up an AWS Direct Connect connection between the company's on-premises data center and a workload that runs in a VPC.  
该公司在AWS上使用Amazon Route 53进行DNS。  
The company uses a private hosted zone to manage DNS names for a set of services that are hosted on AWS.  
该公司希望本地服务器使用Route 53进行私有托管区域的DNS解析。  
The company wants the on-premises servers to use Route 53 for DNS resolution of the private hosted zone.  
哪种解决方案可以满足这些要求？"
290,"A SysOps administrator is evaluating Amazon Route 53 DNS options to address concerns about high availability for an on-premises website. The website consists of two servers: a primary active server and a secondary passive server. Route 53 should route traffic to the primary server if the associated health check returns 2xx or 3xx HTTP codes. All other traffic should be directed to the secondary passive server. The failover record type, set ID, and routing policy have been set appropriately for both primary and secondary servers.  Which next step should be taken to configure Route 53?",A,Create an A record for each server. Associate the records with the Route 53 HTTP health check.,Create an A record for each server. Associate the records with the Route 53 TCP health check.,Create an alias record for each server with evaluate target health set to yes. Associate the records with the Route 53 HTTP health check.,Create an alias record for each server with evaluate target health set to yes. Associate the records with the Route 53 TCP health check.,,,"一名 SysOps 管理员正在评估 Amazon Route 53 DNS 选项，以解决关于高可用性的问题，针对一个 on-premises 网站。  
The website 由两个服务器组成：一个 primary active 服务器和一个 secondary passive 服务器。  
Route 53 应该将流量路由到 primary 服务器，如果相关的 health check 返回 2xx 或 3xx HTTP 代码。  
所有其他流量都应该被引导到 secondary passive 服务器。  
failover 记录类型、set ID 和 routing policy 已经为 primary 和 secondary 服务器适当设置。  
哪个下一步应该采取以配置 Route 53？",为每个服务器创建一个 A 记录。将这些记录与 Route 53 HTTP 健康检查关联。,为每个服务器创建一个 A 记录。将这些记录与 Route 53 TCP 健康检查关联。,为每个服务器创建一个别名记录，评估目标健康设置为是。将这些记录与 Route 53 HTTP 健康检查关联。,为每个服务器创建一个别名记录，evaluate target health 设置为 yes。将这些记录与 Route 53 TCP 健康检查关联。,nan,nan,"一名 SysOps 管理员正在评估 Amazon Route 53 DNS 选项，以解决关于高可用性的问题，针对一个 on-premises 网站。  
The website 由两个服务器组成：一个 primary active 服务器和一个 secondary passive 服务器。  
Route 53 应该将流量路由到 primary 服务器，如果相关的 health check 返回 2xx 或 3xx HTTP 代码。  
所有其他流量都应该被引导到 secondary passive 服务器。  
failover 记录类型、set ID 和 routing policy 已经为 primary 和 secondary 服务器适当设置。  
哪个下一步应该采取以配置 Route 53？"
291,"An Amazon EC2 instance is running an application that uses Amazon Simple Queue Service (Amazon SQS) queues. A SysOps administrator must ensure that the application can read, write, and delete messages from the SQS queues.  Which solution will meet these requirements in the MOST secure manner?",D,"Create an IAM user with an IAM policy that allows the sqs:SendMessage permission, the sqs:ReceiveMessage permission, and the sqs:DeleteMessage permission to the appropriate queues. Embed the IAM user's credentials in the application's configuration","Create an IAM user with an IAM policy that allows the sqs:SendMessage permission, the sqs:RecelveMessage permission, and the sqs:DeleteMessage permission to the appropriate queues. Export the IAM user's access key and secret access key as environment variables on the EC2 instance.",Create and associate an IAM role that allows EC2 instances to call AWS services. Attach an IAM policy to the role that allows sqs:* permissions to the appropriate queues.,"Create and associate an IAM role that allows EC2 instances to call AWS services. Attach an IAM policy to the role that allows the sqs:SendMessage permission, the sqs:ReceiveMessage permission, and the sqs:DeleteMessage permission to the appropriate queues.",,,"一个 Amazon EC2 实例正在运行一个使用 Amazon Simple Queue Service (Amazon SQS) 队列的应用程序。  
一个 SysOps 管理员必须确保该应用程序能够从 SQS 队列中读取、写入和删除消息。  
哪种解决方案将以最安全的方式满足这些要求？",创建一个 IAM 用户，具有允许 sqs:SendMessage 权限、sq s:ReceiveMessage 权限和 sqs:DeleteMessage 权限的 IAM 策略，适用于相应的队列。将 IAM 用户的凭证嵌入到应用程序的配置中。,创建一个具有允许 sqs:SendMessage 权限、sq s:RecelveMessage 权限和 sqs:DeleteMessage 权限的 IAM 用户，适当的队列。将 IAM 用户的访问密钥和秘密访问密钥导出为在 EC2 实例上的环境变量。,创建并关联一个 IAM 角色，该角色允许 EC2 实例调用 AWS 服务。附加一个 IAM 政策到该角色，该政策允许 sqs:* 权限到适当的队列。,"创建并关联一个 IAM 角色，该角色允许 EC2 实例调用 AWS 服务。  
将一个 IAM 政策附加到该角色，该政策允许 sqs:SendMessage 权限、sqs:ReceiveMessage 权限，以及 sqs:DeleteMessage 权限到适当的队列。",nan,nan,"一个 Amazon EC2 实例 正在 运行 一个 使用 Amazon Simple Queue Service (Amazon SQS) 队列 的 应用程序。  
一个 SysOps 管理员 必须 确保 该 应用程序 能够 从 SQS 队列 中 读取、写入 和 删除 消息。  
哪 种 解决方案 将 以 最 安全 的 方式 满足 这些 要求？"
292,A SysOps administrator needs to configure an Amazon S3 bucket to host a web application. The SysOps administrator has created the S3 bucket and has copied the static files for the web application to the S3 bucket.  The company has a policy that all $3 buckets must not be public.  What should the SysOps administrator do to meet these requirements?,A,Create an Amazon CloudFront distribution. Configure the S3 bucket as an origin with an origin access identity (OAI). Give the OAI the s3:GetObject permission in the S3 bucket policy.,Configure static website hosting in the S3 bucket. Use Amazon Route 53 to create a DNS CNAME to point to the S3 website endpoint.,Create an Application Load Balancer (ALB). Change the protocol to HTTPS in the ALB listener configuration. Forward the traffic to the S3 bucket.,Create an accelerator in AWS Global Accelerator. Set up a listener configuration for port 443. Set the endpoint type to forward the traffic to the S3 bucket.,,,"一名 SysOps 管理员需要配置一个 Amazon S3 bucket 来托管一个 web application。  
这名 SysOps 管理员已经创建了 S3 bucket 并且已经复制了 web application 的静态文件到 S3 bucket。  
这家公司有一项政策，所有的 $3 buckets 必须不能是 public。  
SysOps 管理员应该做什么以满足这些要求？",创建一个 Amazon CloudFront 分发。配置 S3 桶作为源，带有一个源访问身份（OAI）。给予 OAI 在 S3 桶策略中 s3:GetObject 的权限。,在 S3 bucket 中配置静态网站托管。使用 Amazon Route 53 创建一个 DNS CNAME 指向 S3 网站端点。,创建一个 Application Load Balancer (ALB)。将协议在 ALB 监听器配置中更改为 HTTPS。将流量转发到 S3 bucket。,在 AWS Global Accelerator 中创建一个加速器。设置监听器配置以端口 443。将端点类型设置为将流量转发到 S3 bucket。,nan,nan,"一名 SysOps 管理员 需要 配置 一个 Amazon S3 bucket 来 托管 一个 web application 。  
这名 SysOps 管理员 已经 创建 了 S3 bucket 并且 已经 复制 了 web application 的 静态文件 到 S3 bucket 。  
这家公司 有 一项 政策 ， 所有 的 $3 buckets 必须 不能 是 public 。  
SysOps 管理员 应该 做 什么 以 满足 这些 要求 ？"
293,A company is building a web application on AWS. The company is using Amazon CloudFront with a domain name of www.example.com. All traffic to CloudFront must be encrypted in transit. The company already has provisioned an SSL certificate for www.example.com in AWS Certificate Manager (ACM).  Which combination of steps should a SysOps administrator take to encrypt the traffic in transit? (Choose two.),AC,"For each cache behavior in the CloudFront distribution, modify the Viewer Protocol Policy setting to redirect HTTP to HTTPS.","For each cache behavior in the CloudFront distribution, modify the Viewer Protocol Policy setting to allow HTTP and HTTPS.",Enter the alternate domain name (CNAME) of www.example.com for the CloudFront distribution. Select the custom SSL certificate.,Configure an AWS WAF web ACL for the CloudFront distribution.,Configure CloudFront Origin Shield for the CloudFront origin.,,"一家公司正在AWS上构建一个Web应用程序。  
The company is using Amazon CloudFront with a domain name of www.example.com.  
所有到CloudFront的流量都必须在传输中加密。  
All traffic to CloudFront must be encrypted in transit.  
该公司已经在AWS Certificate Manager (ACM)中为www.example.com预配了一个SSL证书。  
The company already has provisioned an SSL certificate for www.example.com in AWS Certificate Manager (ACM).  
SysOps管理员应采取哪些步骤组合以在传输中加密流量？（选择两个。）  
Which combination of steps should a SysOps administrator take to encrypt the traffic in transit? (Choose two.)",对于每个 cache behavior 在 CloudFront distribution 中，修改 Viewer Protocol Policy 设置为重定向 HTTP 到 HTTPS。,对于每个 cache behavior 在 CloudFront distribution 中，修改 Viewer Protocol Policy 设置以允许 HTTP 和 HTTPS。,输入 CloudFront 分发的 www.example.com 的备用域名（CNAME）。 选择自定义 SSL 证书。,为 CloudFront 分发配置一个 AWS WAF web ACL。,为 CloudFront 源配置 CloudFront Origin Shield。,nan,"一家公司正在AWS上构建一个Web应用程序。  
The company is using Amazon CloudFront with a domain name of www.example.com.  
所有到CloudFront的流量都必须在传输中加密。  
All traffic to CloudFront must be encrypted in transit.  
该公司已经在AWS Certificate Manager (ACM)中为www.example.com预配了一个SSL证书。  
The company already has provisioned an SSL certificate for www.example.com in AWS Certificate Manager (ACM).  
SysOps管理员应采取哪些步骤组合以在传输中加密流量？（选择两个。）  
Which combination of steps should a SysOps administrator take to encrypt the traffic in transit? (Choose two.)"
294,A company runs an application on hundreds of Amazon EC2 instances in three Availability Zones. The application calls a third-party API over the public internet. A SysOps administrator must provide the third party with a list of static IP addresses so that the third party can allow traffic from the application.  Which solution will meet these requirements?,A,Add a NAT gateway in the public subnet of each Availability Zone. Make the NAT gateway the default route of all private subnets in those Availability Zones.,Allocate one Elastic IP address in each Availability Zone. Associate the Elastic IP address with all the instances in the Availability Zone.,Place the instances behind a Network Load Balancer (NLB). Send the traffic to the internet through the private IP address of the NLB.,Update the main route table to send the traffic to the internet through an Elastic IP address that is assigned to each instance.,,,"一家公司在三个可用区中运行一个应用程序，使用数百个 Amazon EC2 实例。  
该应用程序通过公共互联网调用第三方 API。  
一名 SysOps 管理员必须向第三方提供一份静态 IP 地址列表，以便第三方可以允许来自该应用程序的流量。  
哪种解决方案可以满足这些要求？",在每个 Availability Zone 的公共子网中添加一个 NAT gateway。 让 NAT gateway 成为那些 Availability Zone 中所有私有子网的默认路由。,"在每个可用区分配一个 Elastic IP 地址。  
将 Elastic IP 地址与该可用区中的所有实例关联。","将实例放置在 Network Load Balancer (NLB) 后面。  
通过 NLB 的私有 IP 地址将流量发送到互联网。",更新 主要 路由表 以 发送 流量 到 互联网 通过 一个 Elastic IP 地址 那是 分配 给 每 一个 实例。,nan,nan,"一家公司在三个可用区中运行一个应用程序，使用数百个 Amazon EC2 实例。  
该应用程序通过公共互联网调用第三方 API。  
一名 SysOps 管理员必须向第三方提供一份静态 IP 地址列表，以便第三方可以允许来自该应用程序的流量。  
哪种解决方案可以满足这些要求？"
